source,sequence,index,camera,red_mean,green_mean,blue_mean,luma_mean,luma_std,luma_p05,luma_p50,luma_p95,black_clip_fraction,white_clip_fraction,saturation_mean,laplacian_variance,tenengrad_mean,edge_density,fft_high_frequency_ratio,feature_knn_cosine,feature_percentile,state_knn_rms,state_percentile,matched_episode,matched_frame
reference,episode_000034,19,1,0.39812949299812317,0.34878307580947876,0.3088206648826599,0.35638880729675293,0.2372792810201645,0.013720001094043255,0.3544784486293793,0.7009670734405518,0.018136160714285716,0.0,0.3676968812942505,1084.6304969199743,13532.117147640307,0.07967952806122448,0.028838571161031723,,,,,,
reference,episode_000034,20,0,0.38519278168678284,0.33797094225883484,0.30939728021621704,0.345947265625,0.25623375177383423,0.011672156862914562,0.28921806812286377,0.7161027193069458,0.02574936224489796,0.0,0.35251274704933167,960.179445469295,11272.392936862245,0.06758211096938775,0.025785554200410843,,,,,,
reference,episode_000034,20,1,0.3985956013202667,0.3491721749305725,0.30920806527137756,0.35679420828819275,0.23738116025924683,0.013720001094043255,0.3552651107311249,0.7009670734405518,0.01739875637755102,0.0,0.36757713556289673,1085.8643126195789,13537.140744579081,0.07736766581632654,0.028778797015547752,,,,,,
reference,episode_000034,21,0,0.3853134214878082,0.3379359245300293,0.30939221382141113,0.3459475338459015,0.25622671842575073,0.0117647061124444,0.28921806812286377,0.7161027193069458,0.025091677295918366,0.0,0.35419201850891113,957.4028110321437,11274.743463010203,0.06919642857142858,0.025747571140527725,,,,,,
reference,episode_000034,21,1,0.39907824993133545,0.3496171236038208,0.30966323614120483,0.35724788904190063,0.23746299743652344,0.013720001094043255,0.35593801736831665,0.7009670734405518,0.01721938775510204,0.0,0.3672988712787628,1089.9219725992916,13537.526387117347,0.07758689413265306,0.028750641271471977,,,,,,
reference,episode_000034,22,0,0.38524895906448364,0.3378943204879761,0.3092542886734009,0.34589409828186035,0.25622010231018066,0.011218824423849583,0.28921806812286377,0.7161027193069458,0.02686543367346939,0.0,0.35552287101745605,957.7777606943457,11287.303332270409,0.0682796556122449,0.025765428319573402,,,,,,
reference,episode_000034,22,1,0.3995896279811859,0.3499302864074707,0.3098911941051483,0.3575970530509949,0.23750734329223633,0.013720001094043255,0.3564494252204895,0.701780378818512,0.01887356505102041,0.0,0.366680771112442,1079.196748671955,13538.797074298469,0.0774673150510204,0.02870669960975647,,,,,,
reference,episode_000034,23,0,0.385204553604126,0.3379216194152832,0.30919069051742554,0.3458995819091797,0.2561570405960083,0.011445490643382072,0.28921806812286377,0.7163294553756714,0.02686543367346939,0.0,0.3554435968399048,967.4871686608133,11306.181441326531,0.0686782525510204,0.025832688435912132,,,,,,
reference,episode_000034,23,1,0.4000067114830017,0.35039955377578735,0.3101992607116699,0.3580435514450073,0.23749801516532898,0.013720001094043255,0.35702040791511536,0.701780378818512,0.01775749362244898,0.0,0.36773934960365295,1083.9799592154366,13548.087093431122,0.07762675382653061,0.02871742844581604,,,,,,
reference,episode_000034,24,0,0.385171115398407,0.33780428767204285,0.30922678112983704,0.345811128616333,0.25607314705848694,0.011749019846320152,0.2894650995731354,0.7158195972442627,0.02694515306122449,0.0,0.35410740971565247,970.207994159983,11296.764349489797,0.0684390943877551,0.025834301486611366,,,,,,
reference,episode_000034,24,1,0.4003429114818573,0.35066619515419006,0.3104785978794098,0.35832592844963074,0.23754501342773438,0.013720001094043255,0.35702040791511536,0.7023670077323914,0.017777423469387755,0.0,0.36811113357543945,1094.575017920339,13566.801977040815,0.07756696428571429,0.02876930870115757,,,,,,
reference,episode_000034,25,0,0.38517633080482483,0.3378087282180786,0.30924591422080994,0.34581682085990906,0.256094753742218,0.011749019846320152,0.2887027859687805,0.7158353328704834,0.026347257653061226,0.0,0.35367143154144287,974.424943306306,11298.011559311224,0.06887755102040816,0.025891313329339027,,,,,,
reference,episode_000034,25,1,0.4007148742675781,0.35100385546684265,0.310761034488678,0.35866686701774597,0.2374856024980545,0.013735687360167503,0.35758668184280396,0.7021043300628662,0.0166812818877551,0.0,0.3676809072494507,1092.6067705543674,13547.192203443878,0.07906170280612244,0.028712065890431404,,,,,,
reference,episode_000034,26,0,0.385138601064682,0.3377085328102112,0.30898523330688477,0.3457183539867401,0.2560080289840698,0.011749019846320152,0.28948158025741577,0.7158353328704834,0.024972098214285716,0.0,0.35648083686828613,974.38770681498,11307.603714923469,0.06955516581632654,0.025903133675456047,,,,,,
reference,episode_000034,26,1,0.40120556950569153,0.35127586126327515,0.3108876943588257,0.3589748442173004,0.23750977218151093,0.013735687360167503,0.35758668184280396,0.7023670077323914,0.01624282525510204,0.0,0.36750486493110657,1077.155340966062,13526.61802455357,0.07860331632653061,0.0286385677754879,,,,,,
reference,episode_000034,27,0,0.38506484031677246,0.33764201402664185,0.30888867378234863,0.3456481099128723,0.25597402453422546,0.0117647061124444,0.28921806812286377,0.7155160903930664,0.02734375,0.0,0.3543032109737396,973.0958726299846,11321.723294005102,0.06818000637755102,0.025970930233597755,,,,,,
reference,episode_000034,27,1,0.40145742893218994,0.35168153047561646,0.31140902638435364,0.35935619473457336,0.23759399354457855,0.013735687360167503,0.35815295577049255,0.701780378818512,0.017378826530612245,0.0,0.36728036403656006,1099.5490011666427,13571.080397002552,0.07824457908163265,0.028760313987731934,,,,,,
reference,episode_000034,28,0,0.38507434725761414,0.33755338191986084,0.3088155686855316,0.3455815315246582,0.2559497654438019,0.011753726750612259,0.28921806812286377,0.7158353328704834,0.02451371173469388,0.0,0.3553164005279541,971.9857864503012,11309.703204719388,0.06927614795918367,0.025980833917856216,,,,,,
